building_id,meter,timestamp,meter_reading,site_id,primary_use,square_feet,year_built,floor_count,air_temperature,cloud_coverage,dew_temperature,precip_depth_1_hr,sea_level_pressure,wind_direction,wind_speed
597,0,2016-01-01 12:00:00,71.0,4,9,189425,1994.0,4.0,5.0,0.0,-9.4,0.0,1020.6,0.0,0.0
620,0,2016-01-01 12:00:00,1122.88,4,0,220703,2011.0,9.0,5.0,0.0,-9.4,0.0,1020.6,0.0,0.0
631,0,2016-01-01 12:00:00,8.685,4,0,23533,1906.0,3.0,5.0,0.0,-9.4,0.0,1020.6,0.0,0.0
641,0,2016-01-01 12:00:00,393.528,4,0,109588,1994.0,8.0,5.0,0.0,-9.4,0.0,1020.6,0.0,0.0
575,0,2016-01-01 18:00:00,25.625,4,13,33167,1963.0,4.0,7.2,2.0,-7.2,0.0,1022.5,120.0,2.6
585,0,2016-01-01 18:00:00,164.5,4,9,132394,1949.0,7.0,7.2,2.0,-7.2,0.0,1022.5,120.0,2.6
609,0,2016-01-01 18:00:00,509.756,4,0,141461,1907.0,6.0,7.2,2.0,-7.2,0.0,1022.5,120.0,2.6
620,0,2016-01-01 18:00:00,1107.26,4,0,220703,2011.0,9.0,7.2,2.0,-7.2,0.0,1022.5,120.0,2.6
631,0,2016-01-01 18:00:00,9.0525,4,0,23533,1906.0,3.0,7.2,2.0,-7.2,0.0,1022.5,120.0,2.6
641,0,2016-01-01 18:00:00,386.416,4,0,109588,1994.0,8.0,7.2,2.0,-7.2,0.0,1022.5,120.0,2.6
652,0,2016-01-01 18:00:00,72.3013,4,0,150887,1959.0,9.0,7.2,2.0,-7.2,0.0,1022.5,120.0,2.6
585,0,2016-01-01 21:00:00,160.5,4,9,132394,1949.0,7.0,10.0,2.0,-6.7,0.0,1020.8,40.0,7.2
597,0,2016-01-01 21:00:00,73.5,4,9,189425,1994.0,4.0,10.0,2.0,-6.7,0.0,1020.8,40.0,7.2
609,0,2016-01-01 21:00:00,502.00699999999995,4,0,141461,1907.0,6.0,10.0,2.0,-6.7,0.0,1020.8,40.0,7.2
575,0,2016-01-20 10:00:00,40.45,4,13,33167,1963.0,4.0,9.4,2.0,7.8,0.0,1023.2,0.0,0.0
586,0,2016-01-20 10:00:00,229.625,4,9,166514,1917.0,5.0,9.4,2.0,7.8,0.0,1023.2,0.0,0.0
622,0,2016-01-20 10:00:00,273.9,4,0,123612,1961.0,7.0,9.4,2.0,7.8,0.0,1023.2,0.0,0.0
653,0,2016-01-20 10:00:00,783.4060000000001,4,0,420885,1930.0,8.0,9.4,2.0,7.8,0.0,1023.2,0.0,0.0
575,0,2016-01-24 05:00:00,19.2,4,13,33167,1963.0,4.0,11.7,2.0,7.2,0.0,1020.4,0.0,0.0
585,0,2016-01-24 05:00:00,170.75,4,9,132394,1949.0,7.0,11.7,2.0,7.2,0.0,1020.4,0.0,0.0
597,0,2016-01-24 05:00:00,66.75,4,9,189425,1994.0,4.0,11.7,2.0,7.2,0.0,1020.4,0.0,0.0
620,0,2016-01-24 05:00:00,1125.3,4,0,220703,2011.0,9.0,11.7,2.0,7.2,0.0,1020.4,0.0,0.0
641,0,2016-01-24 05:00:00,373.491,4,0,109588,1994.0,8.0,11.7,2.0,7.2,0.0,1020.4,0.0,0.0
652,0,2016-01-24 05:00:00,61.5248,4,0,150887,1959.0,9.0,11.7,2.0,7.2,0.0,1020.4,0.0,0.0
575,0,2016-01-27 05:00:00,18.95,4,13,33167,1963.0,4.0,10.6,4.0,6.7,0.0,1026.3,50.0,1.5
632,0,2016-01-27 05:00:00,61.0,4,0,41297,1959.0,6.0,10.6,4.0,6.7,0.0,1026.3,50.0,1.5
653,0,2016-01-27 05:00:00,647.933,4,0,420885,1930.0,8.0,10.6,4.0,6.7,0.0,1026.3,50.0,1.5
575,0,2016-01-28 00:00:00,27.65,4,13,33167,1963.0,4.0,16.1,2.0,8.3,0.0,1024.9,250.0,2.1
